Organization Name,Town/City,County,Tier & Rating,Sub Tier
@ Home Accommodation Services Ltd,London,,Tier 2 (A rating),Tier 2 General
@ Home Accommodation Services Ltd,London,,Tier 5 (A rating),Creative & Sporting
]performance s p a c e [,Folkestone,Kent,Tier 5 (A rating),Creative & Sporting
012 Global Ltd,London,Kent,Tier 2 (A rating),Tier 2 General
0-two Maintenance,London,Kent,Tier 2 (A rating),Tier 2 General
1 Digitals Europe Limited,Slough,Kent,Tier 2 (A rating),Tier 2 General
1 minus 1 Limited,Farnham,Surrey,Tier 2 (A rating),Tier 2 General
1 Stop Halal Limited,Eye,Suffolk,Tier 2 (A rating),Tier 2 General
1 Stop Print Ltd,Ilford,Suffolk,Tier 2 (A rating),Tier 2 General
10 Europe Limited,Edinburgh,Suffolk,Tier 2 (A rating),Tier 2 General
10 Europe Limited,Edinburgh,Suffolk,Tier 2 (A rating),Intra Company Transfers (ICT)
10 GROUP LTD  T/A THE 10 GROUP,London,Suffolk,Tier 2 (A rating),Tier 2 General
100 SHAPES LTD,London,Suffolk,Tier 2 (A rating),Tier 2 General
1000heads Ltd,London,Suffolk,Tier 2 (A rating),Tier 2 General
1000mercis LTD,London,Suffolk,Tier 2 (A rating),Tier 2 General
100Starlings Ltd,London,Suffolk,Tier 2 (A rating),Tier 2 General
101 Ways Limited,London,Suffolk,Tier 2 (A rating),Tier 2 General
108 Medical Ltd,London,Suffolk,Tier 2 (A rating),Tier 2 General
10architect Ltd,Manchester,Suffolk,Tier 2 (A rating),Tier 2 General
10BE5 LTD.,London,Suffolk,Tier 2 (A rating),Tier 2 General
10X Future Technologies Services Ltd,London,Suffolk,Tier 2 (A rating),Tier 2 General
114 GPS Ltd  T/A Sushi Atelier,London,Suffolk,Tier 2 (A rating),Tier 2 General
1218 UK Limited trading as 1218 Global,Leicester,Suffolk,Tier 2 (A rating),Tier 2 General
1218 UK Limited trading as 1218 Global,Leicester,Suffolk,Tier 2 (A rating),Intra Company Transfers (ICT)
123 Insight Limited,Durely,Southampton,Tier 2 (A rating),Tier 2 General
1265 Degrees North Ltd,Newcastle Upon Tyne,Southampton,Tier 2 (A rating),Tier 2 General
13 Artists,Brighton,Southampton,Tier 5 (A rating),Creative & Sporting
14 PROMOTIONS (TRADE) LIMITED,London,Southampton,Tier 2 (A rating),Tier 2 General
1508 London Limited,London,Southampton,Tier 2 (A rating),Tier 2 General
15GIFTS LTD,Brighton,East Sussex,Tier 2 (A rating),Tier 2 General
168 EXPRESS LTD,Erith,KENT,Tier 2 (A rating),Tier 2 General
16HarleyCo Limited,London,KENT,Tier 2 (A rating),Tier 2 General
16printing Ltd,Jewellery Quarter,"Birmingham,",Tier 2 (A rating),Tier 2 General
17 Capital Services Ltd,London,"Birmingham,",Tier 2 (A rating),Tier 2 General
17TAOUK TRADE LIMITED,Birmingham,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
18 Feet & Rising Limited,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
1854 Media Limited,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
18A Charing Cross Dental Surgery,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
18APR Limited,London,WEST MIDLANDS,Tier 5 (A rating),Creative & Sporting
19RM Ltd,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
1E Limited,Ealing,London,Tier 2 (A rating),Intra Company Transfers (ICT)
1E Limited,Ealing,London,Tier 2 (A rating),Tier 2 General
